ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID,taxid_original,taxid_was_merged,taxid_was_deleted,taxid_is_deleted_after_update,has_refseq_assembly
1407560,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85014.0,Glycomycetales,85034.0,Glycomycetaceae,58113.0,Glycomyces,1407560.0,Glycomyces albus,species,Glycomyces albus,37.00,37.00,37.0,original,optimum,Tempura,Tempura3376,1407560,False,False,False,False
1412147,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186817.0,Bacillaceae,1647190.0,Aquibacillus,1412147.0,Aquibacillus salifodinae,species,Aquibacillus salifodinae,37.00,37.00,37.0,original,optimum,Tempura,Tempura1670,1412147,False,False,False,False
1419050,2157.0,Archaea,28890.0,Euryarchaeota,183963.0,Halobacteria,2235.0,Halobacteriales,1644061.0,Natrialbaceae,1699375.0,Natribaculum,1419050.0,Natribaculum breve,species,Natribaculum breve,37.00,37.00,37.0,original,optimum,Tempura,Tempura586,1419050,False,False,False,False
1419051,2157.0,Archaea,28890.0,Euryarchaeota,183963.0,Halobacteria,2235.0,Halobacteriales,1644061.0,Natrialbaceae,1699375.0,Natribaculum,1419051.0,Natribaculum longum,species,Natribaculum longum,37.00,37.00,37.0,original,optimum,Tempura,Tempura585,1419051,False,False,False,False
1434887,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,622450.0,Actinopolysporales,622451.0,Actinopolysporaceae,1849.0,Actinopolyspora,1434887.0,Actinopolyspora salinaria,species,Actinopolyspora salinaria,37.00,37.00,37.0,original,optimum,Tempura,Tempura3221,1434887,False,False,False,False
1461577,2.0,Bacteria,976.0,Bacteroidota,117743.0,Flavobacteriia,200644.0,Flavobacteriales,2762318.0,Weeksellaceae,1013.0,Weeksella,1461577.0,Weeksella massiliensis,species,Weeksella massiliensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura4800,1461577,False,False,False,False
1461579,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135625.0,Pasteurellales,712.0,Pasteurellaceae,724.0,Haemophilus,1461579.0,Haemophilus massiliensis,species,Haemophilus massiliensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura1655,1461579,False,False,False,False
1476543,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186822.0,Paenibacillaceae,44249.0,Paenibacillus,1476543.0,Paenibacillus dongdonensis,species,Paenibacillus dongdonensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura3372,1476543,False,False,False,False
1495572,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85011.0,Kitasatosporales,2062.0,Streptomycetaceae,1883.0,Streptomyces,1495572.0,Streptomyces lopnurensis,species,Streptomyces lopnurensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura4703,1495572,False,False,False,False
1499680,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186817.0,Bacillaceae,1386.0,Bacillus,1499680.0,Bacillus rubiinfantis,species,Bacillus rubiinfantis,37.00,37.00,37.0,original,optimum,Tempura,Tempura1654,1499680,False,False,False,False
1500966,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,72274.0,Pseudomonadales,135621.0,Pseudomonadaceae,286.0,Pseudomonas,1500966.0,Pseudomonas populi,species,Pseudomonas populi,37.00,37.00,37.0,original,optimum,Tempura,Tempura1650,1500966,False,False,False,False
1503961,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186817.0,Bacillaceae,2837485.0,Evansella,1503961.0,Evansella caseinilytica,species,Evansella caseinilytica,37.00,37.00,37.0,original,optimum,Tempura,Tempura678,1503961,False,False,False,False
1510469,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186817.0,Bacillaceae,484508.0,Ornithinibacillus,1510469.0,Ornithinibacillus composti,species,Ornithinibacillus composti,37.00,37.00,37.0,original,optimum,Tempura,Tempura1156,1510469,False,False,False,False
1511599,2.0,Bacteria,200940.0,Thermodesulfobacteriota,3031449.0,Desulfovibrionia,213115.0,Desulfovibrionales,194924.0,Desulfovibrionaceae,2582840.0,Desulfocurvibacter,873.0,Desulfocurvibacter africanus,subspecies,Desulfocurvibacter africanus subsp. uniflagellum,37.00,37.00,37.0,original,optimum,BacDive,4171,1511599,False,False,False,False
1515736,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186824.0,Thermoactinomycetaceae,1763555.0,Risungbinella,1515736.0,Risungbinella pyongyangensis,species,Risungbinella pyongyangensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura2735,1515736,False,False,False,False
1538658,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186822.0,Paenibacillaceae,44249.0,Paenibacillus,1538658.0,Paenibacillus yunnanensis,species,Paenibacillus yunnanensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura1154,1538658,False,False,False,False
1566886,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85007.0,Mycobacteriales,1762.0,Mycobacteriaceae,1866885.0,Mycolicibacterium,1566886.0,Mycolicibacterium malmesburyense,species,Mycolicibacterium malmesburyense,37.00,37.00,37.0,original,optimum,Tempura,Tempura1646,1566886,False,False,False,False
1570282,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,2887327.0,Kangiellales,1920240.0,Kangiellaceae,261963.0,Kangiella,1570282.0,Kangiella chungangensis,species,Kangiella chungangensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura3365,1570282,False,False,False,False
1570283,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204455.0,Rhodobacterales,2854170.0,Roseobacteraceae,315422.0,Palleronia,1570283.0,Palleronia soli,species,Palleronia soli,37.00,37.00,37.0,original,optimum,Tempura,Tempura3364,1570283,False,False,False,False
