ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID,protein_count
1970598,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,,,,,1970598.0,Sphingomonadales bacterium 39-57-19,species,Sphingomonadales bacterium 39-57-19,4.20,4.20,4.2,original,optimum,aciDB,aciDB229,0
1970599,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204457.0,Sphingomonadales,,,,,1970599.0,Sphingomonadales bacterium 39-62-4,species,Sphingomonadales bacterium 39-62-4,4.20,4.20,4.2,original,optimum,aciDB,aciDB227,0
111292,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267891.0,Moritellaceae,58050.0,Moritella,111292.0,Moritella abyssi,species,Moritella abyssi,4.50,4.50,4.5,original,optimum,Tempura,Tempura8631,6
43661,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267890.0,Shewanellaceae,22.0,Shewanella,43661.0,Shewanella benthica,species,Shewanella benthica,5.00,5.00,5.0,original,optimum,Tempura,Tempura8637,4164
198347,2.0,Bacteria,1239.0,Bacillota,186801.0,Clostridia,186802.0,Eubacteriales,31979.0,Clostridiaceae,1485.0,Clostridium,198347.0,Clostridium algoriphilum,species,Clostridium algoriphilum,5.00,5.00,5.0,original,optimum,Tempura,Tempura8600,0
336828,2.0,Bacteria,976.0,Bacteroidota,768503.0,Cytophagia,768507.0,Cytophagales,89373.0,Cytophagaceae,336827.0,Rhodonellum,336828.0,Rhodonellum psychrophilum,species,Rhodonellum psychrophilum,5.00,5.00,5.0,original,optimum,Tempura,Tempura8573,4904
651662,2.0,Bacteria,976.0,Bacteroidota,768503.0,Cytophagia,768507.0,Cytophagales,1853232.0,Hymenobacteraceae,89966.0,Hymenobacter,651662.0,Hymenobacter psychrophilus,species,Hymenobacter psychrophilus,5.50,5.50,5.5,original,optimum,Tempura,Tempura8556,4175
866565,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,52972.0,Polaromonas,866565.0,Polaromonas cryoconiti,species,Polaromonas cryoconiti,5.50,5.50,5.5,original,optimum,Tempura,Tempura8555,0
1970304,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204441.0,Rhodospirillales,433.0,Acetobacteraceae,50709.0,Acidocella,1970304.0,Acidocella sp. 20-63-7,species,Acidocella sp. 20-63-7,6.29,6.29,6.29,original,optimum,aciDB,aciDB70,0
1970305,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204441.0,Rhodospirillales,433.0,Acetobacteraceae,50709.0,Acidocella,1970305.0,Acidocella sp. 21-58-7,species,Acidocella sp. 21-58-7,6.29,6.29,6.29,original,optimum,aciDB,aciDB71,0
1970306,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204441.0,Rhodospirillales,433.0,Acetobacteraceae,50709.0,Acidocella,1970306.0,Acidocella sp. 35-58-6,species,Acidocella sp. 35-58-6,6.29,6.29,6.29,original,optimum,aciDB,aciDB72,0
1970307,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970307.0,Acidovorax sp. 16-64-162,species,Acidovorax sp. 16-64-162,6.29,6.29,6.29,original,optimum,aciDB,aciDB80,0
1970308,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970308.0,Acidovorax sp. 17-64-282,species,Acidovorax sp. 17-64-282,6.29,6.29,6.29,original,optimum,aciDB,aciDB79,0
1970309,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970309.0,Acidovorax sp. 24-64-9,species,Acidovorax sp. 24-64-9,6.29,6.29,6.29,original,optimum,aciDB,aciDB78,0
1970310,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970310.0,Acidovorax sp. 28-64-14,species,Acidovorax sp. 28-64-14,6.29,6.29,6.29,original,optimum,aciDB,aciDB77,0
1970311,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970311.0,Acidovorax sp. 32-64-7,species,Acidovorax sp. 32-64-7,6.29,6.29,6.29,original,optimum,aciDB,aciDB76,0
1970312,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970312.0,Acidovorax sp. 35-64-16,species,Acidovorax sp. 35-64-16,6.29,6.29,6.29,original,optimum,aciDB,aciDB75,0
1970313,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,80864.0,Comamonadaceae,12916.0,Acidovorax,1970313.0,Acidovorax sp. 39-64-12,species,Acidovorax sp. 39-64-12,6.29,6.29,6.29,original,optimum,aciDB,aciDB81,0
1970488,2.0,Bacteria,201174.0,Actinomycetota,,,,,,,,,1970488.0,Actinobacteria bacterium 21-64-8,species,Actinobacteria bacterium 21-64-8,6.29,6.29,6.29,original,optimum,aciDB,aciDB84,0
1970489,2.0,Bacteria,201174.0,Actinomycetota,,,,,,,,,1970489.0,Actinobacteria bacterium 21-73-9,species,Actinobacteria bacterium 21-73-9,6.29,6.29,6.29,original,optimum,aciDB,aciDB83,0
1796491,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,32003.0,Nitrosomonadales,90627.0,Gallionellaceae,96.0,Gallionella,1796491.0,Candidatus Gallionella acididurans,species,Candidatus Gallionella acididurans,6.50,6.50,6.5,original,optimum,aciDB,aciDB129,0
96941,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135618.0,Methylococcales,403.0,Methylococcaceae,429.0,Methylobacter,96941.0,Methylobacter psychrophilus,species,Methylobacter psychrophilus,6.75,6.75,6.75,original,optimum,Tempura,Tempura8610,0
60217,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267890.0,Shewanellaceae,22.0,Shewanella,60217.0,Shewanella violacea,species,Shewanella violacea,7.00,7.00,7.0,original,optimum,"Lyubetsky et al., 2020",Lyu125,4379
84981,2.0,Bacteria,200940.0,Thermodesulfobacteriota,3024418.0,Desulfobacteria,213118.0,Desulfobacterales,2904606.0,Desulfofabaceae,109169.0,Desulfofaba,84981.0,Desulfofaba gelida,species,Desulfofaba gelida,7.00,7.00,7.0,original,optimum,BacDive,3984,2
238834,2.0,Bacteria,1239.0,Bacillota,186801.0,Clostridia,186802.0,Eubacteriales,31979.0,Clostridiaceae,1485.0,Clostridium,238834.0,Clostridium estertheticum,species,Clostridium estertheticum,7.00,7.00,7.0,original,optimum,"Lyubetsky et al., 2020",Lyu123,4203
913101,2.0,Bacteria,203691.0,Spirochaetota,203692.0,Spirochaetia,136.0,Spirochaetales,2791015.0,Sphaerochaetaceae,1920504.0,Pleomorphochaeta,913101.0,Pleomorphochaeta multiformis,species,Pleomorphochaeta multiformis,7.00,7.00,7.0,original,optimum,Tempura,Tempura8614,0
1217908,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204455.0,Rhodobacterales,2854170.0,Roseobacteraceae,53945.0,Octadecabacter,1217908.0,Octadecabacter antarcticus,species,Octadecabacter antarcticus,7.00,7.00,7.0,original,optimum,"Lyubetsky et al., 2020",Lyu124,4327
351628,2.0,Bacteria,1239.0,Bacillota,186801.0,Clostridia,186802.0,Eubacteriales,31979.0,Clostridiaceae,1485.0,Clostridium,351628.0,Clostridium schirmacherense,species,Clostridium schirmacherense,"46,152.00","46,152.00",7.5,manual fix,optimum,BacDive,2832,0
291182,2.0,Bacteria,976.0,Bacteroidota,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,291181.0,Subsaxibacter,291182.0,Subsaxibacter broadyi,species,Subsaxibacter broadyi,8.00,8.00,8.0,original,optimum,Tempura,Tempura8609,0
907462,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135619.0,Oceanospirillales,135620.0,Oceanospirillaceae,1437109.0,Profundimonas,907462.0,Profundimonas piezophila,species,Profundimonas piezophila,8.00,8.00,8.0,original,optimum,Tempura,Tempura8630,0
249406,2.0,Bacteria,1297.0,Deinococcota,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,249406.0,Deinococcus saxicola,species,Deinococcus saxicola,9.00,9.00,9.0,original,optimum,Tempura,Tempura8071,4502
1201293,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267891.0,Moritellaceae,58050.0,Moritella,428031.0,Moritella dasanensis,strain,Moritella dasanensis ArB 0140,9.00,9.00,9.0,original,optimum,Tempura,Tempura8623,0
28229,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267889.0,Colwelliaceae,28228.0,Colwellia,28229.0,Colwellia psychrerythraea,species,Colwellia psychrerythraea,9.50,9.50,9.5,original,optimum,"Lyubetsky et al., 2020",Lyu126,9263
53946,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204455.0,Rhodobacterales,2854170.0,Roseobacteraceae,53945.0,Octadecabacter,53946.0,Octadecabacter arcticus,species,Octadecabacter arcticus,9.50,9.50,9.5,original,optimum,"Lyubetsky et al., 2020",Lyu127,4331
74109,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135623.0,Vibrionales,641.0,Vibrionaceae,657.0,Photobacterium,74109.0,Photobacterium profundum,species,Photobacterium profundum,10.00,10.00,10.0,original,optimum,"Lyubetsky et al., 2020",Lyu129,5370
84980,2.0,Bacteria,200940.0,Thermodesulfobacteriota,3031451.0,Desulfobulbia,3024411.0,Desulfobulbales,2886822.0,Desulfocapsaceae,109168.0,Desulfotalea,84980.0,Desulfotalea psychrophila,species,Desulfotalea psychrophila,10.00,10.00,10.0,original,optimum,BacDive,4030,4340
84982,2.0,Bacteria,200940.0,Thermodesulfobacteriota,3024418.0,Desulfobacteria,213118.0,Desulfobacterales,213119.0,Desulfobacteraceae,109166.0,Desulfofrigus,84982.0,Desulfofrigus oceanense,species,Desulfofrigus oceanense,10.00,10.00,10.0,original,optimum,BacDive,3988,0
145373,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267894.0,Psychromonadaceae,67572.0,Psychromonas,145373.0,Psychromonas kaikoae,species,Psychromonas kaikoae,10.00,10.00,10.0,original,optimum,Tempura,Tempura8629,0
177439,2.0,Bacteria,200940.0,Thermodesulfobacteriota,3031451.0,Desulfobulbia,3024411.0,Desulfobulbales,2886822.0,Desulfocapsaceae,109168.0,Desulfotalea,84980.0,Desulfotalea psychrophila,strain,Desulfotalea psychrophila LSv54,10.00,10.00,10.0,original,optimum,Tempura,Tempura8613,3233
271096,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267890.0,Shewanellaceae,22.0,Shewanella,271096.0,Shewanella canadensis,species,Shewanella canadensis,10.00,10.00,10.0,original,optimum,Tempura,Tempura8509,4711
271098,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267890.0,Shewanellaceae,22.0,Shewanella,271098.0,Shewanella halifaxensis,species,Shewanella halifaxensis,10.00,10.00,10.0,original,optimum,Tempura,Tempura8507,4277
271099,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267890.0,Shewanellaceae,22.0,Shewanella,271099.0,Shewanella atlantica,species,Shewanella atlantica,10.00,10.00,10.0,original,optimum,Tempura,Tempura8506,4425
425104,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267890.0,Shewanellaceae,22.0,Shewanella,271097.0,Shewanella sediminis,strain,Shewanella sediminis HAW-EB3,10.00,10.00,10.0,original,optimum,Tempura,Tempura8508,4493
468913,2.0,Bacteria,1297.0,Deinococcota,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,468913.0,Deinococcus alpinitundrae,species,Deinococcus alpinitundrae,10.00,10.00,10.0,original,optimum,Tempura,Tempura8505,0
468914,2.0,Bacteria,1297.0,Deinococcota,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,468914.0,Deinococcus altitudinis,species,Deinococcus altitudinis,10.00,10.00,10.0,original,optimum,Tempura,Tempura8504,4479
468915,2.0,Bacteria,1297.0,Deinococcota,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,468915.0,Deinococcus claudionis,species,Deinococcus claudionis,10.00,10.00,10.0,original,optimum,Tempura,Tempura8503,0
468916,2.0,Bacteria,1297.0,Deinococcota,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,468916.0,Deinococcus radiomollis,species,Deinococcus radiomollis,10.00,10.00,10.0,original,optimum,Tempura,Tempura8502,5399
505250,2.0,Bacteria,976.0,Bacteroidota,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,252356.0,Maribacter,505250.0,Maribacter antarcticus,species,Maribacter antarcticus,10.00,10.00,10.0,original,optimum,BacDive,5614,0
1469557,2.0,Bacteria,976.0,Bacteroidota,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,291183.0,Lacinutrix,1469557.0,Lacinutrix jangbogonensis,species,Lacinutrix jangbogonensis,10.00,10.00,10.0,original,optimum,Tempura,Tempura8635,0
1485217,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,75682.0,Oxalobacteraceae,149698.0,Massilia,1485217.0,Massilia eurypsychrophila,species,Massilia eurypsychrophila,10.00,10.00,10.0,original,optimum,Tempura,Tempura8501,5261
1562124,2.0,Bacteria,976.0,Bacteroidota,768503.0,Cytophagia,768507.0,Cytophagales,1853232.0,Hymenobacteraceae,89966.0,Hymenobacter,1562124.0,Hymenobacter glacieicola,species,Hymenobacter glacieicola,10.00,10.00,10.0,original,optimum,Tempura,Tempura8070,4340
1658618,2.0,Bacteria,74201.0,Verrucomicrobiota,203494.0,Verrucomicrobiia,48461.0,Verrucomicrobiales,1648490.0,Rubritaleaceae,361050.0,Rubritalea,1658618.0,Rubritalea profundi,species,Rubritalea profundi,10.00,10.00,10.0,original,optimum,Tempura,Tempura8627,3389
1843235,2.0,Bacteria,976.0,Bacteroidota,117747.0,Sphingobacteriia,200666.0,Sphingobacteriales,84566.0,Sphingobacteriaceae,84567.0,Pedobacter,1843235.0,Pedobacter psychrotolerans,species,Pedobacter psychrotolerans,10.00,10.00,10.0,original,optimum,Tempura,Tempura8069,4279
2038737,2.0,Bacteria,976.0,Bacteroidota,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,237.0,Flavobacterium,2038737.0,Flavobacterium ardleyense,species,Flavobacterium ardleyense,10.00,10.00,10.0,original,optimum,Tempura,Tempura8572,3142
291179,2.0,Bacteria,976.0,Bacteroidota,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,291178.0,Subsaximicrobium,291179.0,Subsaximicrobium wynnwilliamsii,species,Subsaximicrobium wynnwilliamsii,10.50,10.50,10.5,original,optimum,Tempura,Tempura8544,3955
291180,2.0,Bacteria,976.0,Bacteroidota,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,291178.0,Subsaximicrobium,291180.0,Subsaximicrobium saxinquilinus,species,Subsaximicrobium saxinquilinus,10.50,10.50,10.5,original,optimum,Tempura,Tempura8543,0
291187,2.0,Bacteria,976.0,Bacteroidota,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,283785.0,Bizionia,291187.0,Bizionia algoritergicola,species,Bizionia algoritergicola,10.50,10.50,10.5,original,optimum,Tempura,Tempura8542,3194
291191,2.0,Bacteria,976.0,Bacteroidota,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,244698.0,Gillisia,291191.0,Gillisia sandarakina,species,Gillisia sandarakina,10.50,10.50,10.5,original,optimum,Tempura,Tempura8603,0
291192,2.0,Bacteria,976.0,Bacteroidota,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,244698.0,Gillisia,291192.0,Gillisia illustrilutea,species,Gillisia illustrilutea,10.50,10.50,10.5,original,optimum,Tempura,Tempura8602,0
995037,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85006.0,Micrococcales,85023.0,Microbacteriaceae,69578.0,Cryobacterium,995037.0,Cryobacterium aureum,species,Cryobacterium aureum,11.00,11.00,11.0,original,optimum,Tempura,Tempura8619,0
995038,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85006.0,Micrococcales,85023.0,Microbacteriaceae,69578.0,Cryobacterium,995038.0,Cryobacterium levicorallinum,species,Cryobacterium levicorallinum,11.00,11.00,11.0,original,optimum,Tempura,Tempura8618,3510
1967665,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267889.0,Colwelliaceae,2848171.0,Cognaticolwellia,1967665.0,Cognaticolwellia beringensis,species,Cognaticolwellia beringensis,11.50,11.50,11.5,original,optimum,Tempura,Tempura8553,3777
52704,2.0,Bacteria,1239.0,Bacillota,186801.0,Clostridia,186802.0,Eubacteriales,31979.0,Clostridiaceae,1485.0,Clostridium,52704.0,Clostridium vincentii,species,Clostridium vincentii,12.00,12.00,12.0,original,optimum,Tempura,Tempura8599,3379
67573,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267894.0,Psychromonadaceae,67572.0,Psychromonas,67573.0,Psychromonas antarctica,species,Psychromonas antarctica,12.00,12.00,12.0,original,optimum,Tempura,Tempura8622,0
1129794,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,72275.0,Alteromonadaceae,1621534.0,Paraglaciecola,326544.0,Paraglaciecola psychrophila,strain,Paraglaciecola psychrophila 170,12.00,12.00,12.0,original,optimum,Tempura,Tempura8626,5601
1336806,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135619.0,Oceanospirillales,255527.0,Saccharospirillaceae,230494.0,Reinekea,1336806.0,Reinekea forsetii,species,Reinekea forsetii,12.00,12.00,12.0,original,optimum,Tempura,Tempura8612,3259
131540,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,72273.0,Thiotrichales,135616.0,Piscirickettsiaceae,2039723.0,Thiomicrorhabdus,131540.0,Thiomicrorhabdus arctica,species,Thiomicrorhabdus arctica,12.35,12.35,12.35,original,optimum,Tempura,Tempura8582,0
56807,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,72275.0,Alteromonadaceae,89404.0,Glaciecola,56807.0,Glaciecola pallidula,species,Glaciecola pallidula,12.50,12.50,12.5,original,optimum,Tempura,Tempura8608,4036
57029,2.0,Bacteria,976.0,Bacteroidota,117743.0,Flavobacteriia,200644.0,Flavobacteriales,49546.0,Flavobacteriaceae,83612.0,Psychroflexus,57029.0,Psychroflexus torquis,species,Psychroflexus torquis,12.50,12.50,12.5,original,optimum,"Lyubetsky et al., 2020",Lyu130,3457
225848,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267890.0,Shewanellaceae,22.0,Shewanella,225848.0,Shewanella psychrophila,species,Shewanella psychrophila,12.50,12.50,12.5,original,optimum,Tempura,Tempura8607,5400
249408,2.0,Bacteria,1297.0,Deinococcota,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,249408.0,Deinococcus marmoris,species,Deinococcus marmoris,12.50,12.50,12.5,original,optimum,Tempura,Tempura8549,4906
253703,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186822.0,Paenibacillaceae,44249.0,Paenibacillus,253703.0,Paenibacillus antarcticus,species,Paenibacillus antarcticus,12.50,12.50,12.5,original,optimum,Tempura,Tempura7545,4665
281738,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,2887326.0,Moraxellales,468.0,Moraxellaceae,497.0,Psychrobacter,281738.0,Psychrobacter nivimaris,species,Psychrobacter nivimaris,12.50,12.50,12.5,original,optimum,Tempura,Tempura7227,2863
645597,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135614.0,Lysobacterales,32033.0,Lysobacteraceae,83614.0,Luteimonas,645597.0,Luteimonas terricola,species,Luteimonas terricola,12.50,12.50,12.5,original,optimum,Tempura,Tempura8551,2811
1117313,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267888.0,Pseudoalteromonadaceae,53246.0,Pseudoalteromonas,394751.0,Pseudoalteromonas arctica,strain,Pseudoalteromonas arctica A 37-1-2,12.50,12.50,12.5,original,optimum,Tempura,Tempura8552,1
1434752,2.0,Bacteria,976.0,Bacteroidota,117747.0,Sphingobacteriia,200666.0,Sphingobacteriales,84566.0,Sphingobacteriaceae,1288026.0,Arcticibacter,1434752.0,Arcticibacter eurypsychrophilus,species,Arcticibacter eurypsychrophilus,12.50,12.50,12.5,original,optimum,Tempura,Tempura8550,0
1524095,2.0,Bacteria,976.0,Bacteroidota,768503.0,Cytophagia,768507.0,Cytophagales,1853232.0,Hymenobacteraceae,89966.0,Hymenobacter,1524095.0,Hymenobacter frigidus,species,Hymenobacter frigidus,12.50,12.50,12.5,original,optimum,Tempura,Tempura8606,4081
2023717,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135623.0,Vibrionales,641.0,Vibrionaceae,657.0,Photobacterium,2023717.0,Photobacterium carnosum,species,Photobacterium carnosum,12.50,12.50,12.5,original,optimum,Tempura,Tempura8605,3997
2056433,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85006.0,Micrococcales,85023.0,Microbacteriaceae,120212.0,Subtercola,2056433.0,Subtercola vilae,species,Subtercola vilae,12.50,12.50,12.5,original,optimum,Tempura,Tempura8393,3658
651661,2.0,Bacteria,976.0,Bacteroidota,768503.0,Cytophagia,768507.0,Cytophagales,2896860.0,Spirosomataceae,120831.0,Dyadobacter,651661.0,Dyadobacter psychrophilus,species,Dyadobacter psychrophilus,"46,310.00","46,310.00",12.5,manual fix,optimum,BacDive,3782,5705
1121381,2.0,Bacteria,1297.0,Deinococcota,188787.0,Deinococci,118964.0,Deinococcales,183710.0,Deinococcaceae,1298.0,Deinococcus,249408.0,Deinococcus marmoris,strain,Deinococcus marmoris DSM 12784,"46,281.00","46,281.00",12.5,manual fix,optimum,BacDive,3869,0
1121922,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,72275.0,Alteromonadaceae,89404.0,Glaciecola,56807.0,Glaciecola pallidula,strain,Glaciecola pallidula DSM 14239 = ACAM 615,"46,310.00","46,310.00",12.5,manual fix,optimum,BacDive,451,4036
