ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID,taxid_original,taxid_was_merged,taxid_was_deleted,taxid_is_deleted_after_update,has_refseq_assembly
86664,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186817.0,Bacillaceae,2800373.0,Priestia,86664.0,Priestia flexa,species,Priestia flexa,27.00,27.00,27.0,original,optimum,"Lyubetsky et al., 2020",Lyu213,86664,False,False,False,True
106590,2.0,Bacteria,1224.0,Pseudomonadota,28216.0,Betaproteobacteria,80840.0,Burkholderiales,119060.0,Burkholderiaceae,106589.0,Cupriavidus,106590.0,Cupriavidus necator,species,Cupriavidus necator,27.00,27.00,27.0,original,optimum,"Lyubetsky et al., 2020",Lyu214,106590,False,False,False,True
106592,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,356.0,Hyphomicrobiales,82115.0,Rhizobiaceae,106591.0,Ensifer,106592.0,Ensifer adhaerens,species,Ensifer adhaerens,27.00,27.00,27.0,original,optimum,"Lyubetsky et al., 2020",Lyu215,106592,False,False,False,True
163869,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,135622.0,Alteromonadales,267888.0,Pseudoalteromonadaceae,296014.0,Algicola,163869.0,Algicola sagamiensis,species,Algicola sagamiensis,27.00,27.00,27.0,original,optimum,Tempura,Tempura6923,163869,False,False,False,True
173366,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,356.0,Hyphomicrobiales,31993.0,Methylocystaceae,133.0,Methylocystis,173366.0,Methylocystis rosea,species,Methylocystis rosea,27.00,27.00,27.0,original,optimum,BacDive,7217,173366,False,False,False,True
203523,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85008.0,Micromonosporales,28056.0,Micromonosporaceae,203522.0,Longispora,203523.0,Longispora albida,species,Longispora albida,27.00,27.00,27.0,original,optimum,Tempura,Tempura6074,203523,False,False,False,True
205332,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85006.0,Micrococcales,85023.0,Microbacteriaceae,33877.0,Agromyces,205332.0,Agromyces albus,species,Agromyces albus,27.00,27.00,27.0,original,optimum,Tempura,Tempura6443,205332,False,False,False,True
232444,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85006.0,Micrococcales,85019.0,Brevibacteriaceae,1696.0,Brevibacterium,225845.0,Brevibacterium celere,species,Brevibacterium celere,27.00,27.00,27.0,original,optimum,BacDive,1861,225845,True,False,False,True
256034,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85014.0,Glycomycetales,85034.0,Glycomycetaceae,58113.0,Glycomyces,256034.0,Glycomyces lechevalierae,species,Glycomyces lechevalierae,28.00,28.00,27.0,average,optimum,BacDive,5842,256034,False,False,False,True
256037,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85014.0,Glycomycetales,85034.0,Glycomycetaceae,58113.0,Glycomyces,256037.0,Glycomyces algeriensis,species,Glycomyces algeriensis,26.00,26.00,27.0,average,optimum,BacDive,5840,256037,False,False,False,True
