ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID
1163730,2157,Archaea,28889,Thermoproteota,183924,Thermoprotei,685948,Fervidicoccales,685949,Fervidicoccaceae,685950,Fervidicoccus,683846,Fervidicoccus fontis,strain,Fervidicoccus fontis Kam940,67.50,67.50,67.50,original,optimum,ThermoBase,ThermoBase169
1330700,2,Bacteria,1297,Deinococcota,188787,Deinococci,68933,Thermales,188786,Thermaceae,270,Thermus,1330700,Thermus caliditerrae,species,Thermus caliditerrae,70.00,70.00,67.50,average,optimum,ThermoBase,ThermoBase362
1670455,2157,Archaea,28889,Thermoproteota,183924,Thermoprotei,2281,Sulfolobales,118883,Sulfolobaceae,2017961,Sulfodiicoccus,1670455,Sulfodiicoccus acidiphilus,species,Sulfodiicoccus acidiphilus,67.50,67.50,67.50,original,optimum,ThermoBase,ThermoBase365
1795632,2,Bacteria,200940,Thermodesulfobacteriota,67799,Thermodesulfobacteria,188710,Thermodesulfobacteriales,3031464,Thermodesulfatatoraceae,241192,Thermodesulfatator,1795632,Thermodesulfatator autotrophicus,species,Thermodesulfatator autotrophicus,67.50,67.50,67.50,original,optimum,Tempura,Tempura201
1566,2,Bacteria,1239,Bacillota,186801,Clostridia,186802,Eubacteriales,186807,Peptococcaceae,2282741,Desulfofundulus,1566,Desulfofundulus australicus,species,Desulfofundulus australicus,68.00,68.00,68.00,original,optimum,ThermoBase,ThermoBase331
29344,2,Bacteria,1239,Bacillota,186801,Clostridia,186802,Eubacteriales,31979,Clostridiaceae,44258,Caloramator,29344,Caloramator fervidus,species,Caloramator fervidus,68.00,68.00,68.00,original,optimum,ThermoBase,ThermoBase227
171864,2,Bacteria,1297,Deinococcota,188787,Deinococci,68933,Thermales,188786,Thermaceae,270,Thermus,171864,Thermus kawarayensis,species,Thermus kawarayensis,68.00,68.00,68.00,original,optimum,ThermoBase,ThermoBase342
204536,2,Bacteria,200783,Aquificota,187857,Aquificia,32069,Aquificales,224027,Hydrogenothermaceae,212790,Sulfurihydrogenibium,309806,Sulfurihydrogenibium azorense,strain,Sulfurihydrogenibium azorense Az-Fu1,68.00,68.00,68.00,original,optimum,ThermoBase,ThermoBase341
309806,2,Bacteria,200783,Aquificota,187857,Aquificia,32069,Aquificales,224027,Hydrogenothermaceae,212790,Sulfurihydrogenibium,309806,Sulfurihydrogenibium azorense,species,Sulfurihydrogenibium azorense,68.00,68.00,68.00,original,optimum,BacDive,519
380685,2,Bacteria,200918,Thermotogota,188708,Thermotogae,2419,Thermotogales,1643950,Fervidobacteriaceae,2420,Thermosipho,380685,Thermosipho globiformans,species,Thermosipho globiformans,68.00,68.00,68.00,original,optimum,ThermoBase,ThermoBase295
460873,2,Bacteria,200783,Aquificota,187857,Aquificia,32069,Aquificales,224027,Hydrogenothermaceae,212790,Sulfurihydrogenibium,460873,Sulfurihydrogenibium kristjanssonii,species,Sulfurihydrogenibium kristjanssonii,68.00,68.00,68.00,original,optimum,BacDive,521
555079,2,Bacteria,1239,Bacillota,186801,Clostridia,2770089,Thermosediminibacterales,2770093,Thermosediminibacteraceae,291988,Thermosediminibacter,291990,Thermosediminibacter oceani,strain,Thermosediminibacter oceani DSM 16646,68.00,68.00,68.00,original,optimum,ThermoBase,ThermoBase274
632516,2,Bacteria,1239,Bacillota,nan,,3071001,Caldicellulosiruptorales,3071002,Caldicellulosiruptoraceae,44000,Caldicellulosiruptor,301953,Caldicellulosiruptor acetigenus,strain,Caldicellulosiruptor acetigenus 6A,68.00,68.00,68.00,original,optimum,ThermoBase,ThermoBase255
1198630,2,Bacteria,1239,Bacillota,186801,Clostridia,68295,Thermoanaerobacterales,186814,Thermoanaerobacteraceae,1754,Thermoanaerobacter,1516,Thermoanaerobacter thermohydrosulfuricus,strain,Thermoanaerobacter thermohydrosulfuricus WC1,68.00,68.00,68.00,original,optimum,ThermoBase,ThermoBase254
1303518,2,Bacteria,67819,Armatimonadota,1077257,Chthonomonadia,1077263,Chthonomonadales,1077264,Chthonomonadaceae,1077265,Chthonomonas,454171,Chthonomonas calidirosea,strain,Chthonomonas calidirosea T49,68.00,68.00,68.00,original,optimum,ThermoBase,ThermoBase339
2058097,2157,Archaea,651137,Nitrososphaerota,1643678,Nitrososphaeria,1968909,Candidatus Nitrosocaldales,1968910,Candidatus Nitrosocaldaceae,498374,Candidatus Nitrosocaldus,2058097,Candidatus Nitrosocaldus cavascurensis,species,Candidatus Nitrosocaldus cavascurensis,68.00,68.00,68.00,original,optimum,ThermoBase,ThermoBase332
